,id,tweet,subtask_b
111,83466,# beeto just demonstrated how to lose an election in # texas url # maga @ user # rkba @ user # dvc,TIN
112,48657,and have a bitch thinking you nigga have money and you tf don ’ t .,TIN
113,89635,*extremely* back on my bullshit . url,UNT
114,89603,fucking year . # mytwitteranniversary url,UNT
115,86611,"# dems are disgusting . they only believe woman who accuse conservative of abuse crime . when liberal are accused , they ignore the accusation . url",TIN
116,12193,# christineblaseyford is only being harassed by member of the antifa the radical arm of the democratic party funded by george soros . # voteredtosaveamerica,TIN
117,63985,cent call out joe budden 's bullshit '' on instagram url url,TIN
118,20522,"# bb actually question why do people want jc to win more than angela ? he ha been way meaner , say the n word repeatly , make fun of eating disorder , and sexually harasses houseguests.she is just a much a an underdog to win so dont use that excuse . # bb # tangela",TIN
119,94260,not surprised it start from the top ! ! ! karma a bitch watch ! ! ! ! url,UNT
120,70324,alright let me get right with god bc mother nature is like fuck human url,TIN
121,89329,# hillary and @ least other # angrydemocrats # worldwarq # wwg wga # maga # redtsunami # americafirst # walkaway # truth url,TIN
122,11100,# antifa is recruiting for a designated # terrorist organization url,TIN
123,83240,# hypocrite # democratshateamerica # liberalismisamentaldisorder everything liberal touch turn to absolute shit ... url,TIN
124,81890,@ user @ user a i have said the medium and money soros with dip shit water is creating a civil war .,TIN
125,72037,# texas ted cruz campaign is sending people solicitation disguised a official looking county summons . elderly resident have been confused by the notice to appear . he is so skeezy . url,TIN
126,78301,tf . he saw that shit . url,UNT
127,94607,anyone who find m*neta 's behavior funny can fuck off and die,TIN
128,72531,# goodmorningamerica # tuesdaymotivation # thankyou # fathergod the # americanpeople will begin to see the # truth about our # governmentcorruption @ user @ user @ user # mediacorruption # noredaction # declassifyfisa # declassification completely # obama # hillaryclinton # lie # leaker # liberal url,TIN
129,98575,"@ user the difference between you and i a i stated before , and this inane asinine comment have solidified is i bring fact and truth , while all you have is lie and bullshit . present a single shred of credible evidence to support a single thing you 've just said . lie is all you 've got .",TIN
130,58342,@ user damn i felt this shit . why you so loud lol,TIN
131,39429,# msnbc # hardball @ user bingo you are absolutely correct he can not bring president obama down . he can ’ t get over how president obama humiliated him at the white house correspondent dinner and i can guarantee you that is a definite driver of his hate for president obama,TIN
132,18786,# cnnisfakenews @ user @ user you wonder why your rating suck ... # cnnisajoke # fakenews # maga url,TIN
133,35785,$ b album definitely worth the fucking wait,UNT
134,67049,# joescarborough is a vile excuse for a journalist '' . here he is criticizing # trump yet refuse to come clean about the death of an intern in his office . stop talking about everyone else and start talking about your involvement with # loriklausutis . @ user,TIN
135,82273,ain ’ t nobody shit if you ask me ... including myself .,UNT
136,98216,"the dreg of society '' ... more labelingand dehumanizing conservatives.i suggest , we , conservative keep our ammo dry and our gun loaded..if the fascist liberal left think conservative will go quietly into internment camp or slaughtered in the street they need a reality check . url",TIN
137,37649,# feinstein you cant say anything truthful . you are a loers and liar . url,TIN
138,14582,# lifeisbutepu when you have sex anytime you want but you are single,UNT
139,59751,# nigeria # naija # ja 'you are the most incompetent leader in nigeria ’ s history ' – atiku blast buhari url by championnewsng via url,TIN
140,92215,"# emmy well , most of those ex-crackheads are liberal and democrat ; so ...",TIN
141,22311,@ user # diversity only work when those joining the new group want to be a part of the team . # islam hate every non-muslim # fail # unicorn,TIN
142,75125,// so want to kick twitterfuck as .,TIN
143,21354,"# faileddemfeinstein should have quit decade ago . she is a disgrace . feinstein blame gop after kavanaugh accuser stay mum , admits ' i ca n't say everything 's truthful ' url",TIN
144,22594,@ user @ user @ user fascism wa also against liberal a is antifa according to your meme .,TIN
145,19410,@ user fuck,UNT
146,33394,". a grown as woman , probably year older than me is currently spreading rumor rather than talking to me about it , nice work you got there satan ❤️",TIN
147,56513,# conservative don ’ t care what you post..it ’ s @ user propaganda.. url,TIN
148,59691,# idiot is there nothing beneath them ? lol . what fool liberal are ! # maga # kag 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 url,TIN
149,41997,@ user the kindest explanation is that he is tone-deaf . it 's hard to feel kind when he and his ilk do this repeatedly .,TIN
150,56637,"# amazonpets etta can be tricky to photograph because of her colouring , but she is beautiful and she know it . she is in charge , ha first dibs on treat , and will shout for our attention whenever she come in the house . she kill wild rabbit but hang out in the hutch with ours . url",TIN
151,19815,# sugardaddy retweet if you are under and would like share meme with each other and we can talk about dumb shit . cuz baby i ’ m broke a shit but this love rich url,UNT
152,97410,# geoffreyowens nigga don ’ t really understand ... level to career pursuit,TIN
153,77746,"... what about death _metal_ ? i want more death metal ... tell me , you hateful keebler elf , where can i have more death metal ? ? ? ? url",TIN
154,17704,"# kavanaugh is a disciple of anthony kennedy , who 🎁ed liberal w/ unconstitutional opinion ! he 's trump 's con to con conservative to 🤔ing # scotus is moving right ! were @ user smart , they 'd do everything to get bk the 🏁 . but they wo n't ! idiot ! # tuesdaythoughts url",TIN
155,61674,# america ... tear down that # wall ! url # tcot # partisanship # trump # thewall # borderwall # liberty # civilsociety # think # conservative # democrat # progressive # liberal # independent # libertarian # gop # dnc # criticalthinking,TIN
156,39860,am i a dickhead ? ? ? ? probably yes,TIN
157,21826,( cr tikal voice ) smef my as cheek,UNT
158,79934,@ user 'cause everyone know a real leader fall into a van like a sack of potato ... ..,TIN
159,55048,# boycottnike campaign must continue and grow paying overseas staff $ . an hour is not okay because your staff is over there '' . you are exploiting poor women/men in the world . this is more than american can stand . url,TIN
160,76833,"# news jeff session : if you want more death , 'listen to the aclu , antifa , black life matter ' '' url # cnbc ''",TIN
161,55832,# david # miliband # davidmiliband flew away in # newyork to be with the # u # liberal # democrat - had to flee # corbynists hatred of jew,TIN
162,32056,anyway this game suck : ),TIN
163,67841,# ibelieveblaseyford is liar she is fat ugly libreal # snowflake she sold her herself to get some cash ! ! from dems and iran ! why she spoke after # johnkerryiranmeeting ?,TIN
164,94427,# conservative do not represent all canadian . they are authoritarian scum . # cdnpoli # onpoli url,TIN
165,96594,# ford 's attorney say she 's receiving death threat and ha had to move her family to safety '' . where 's the proof that # democrat # antifa are not doing this to promote this circus ? '',TIN
166,62689,# scottgimple ruined # thewalkingdead and now he is doing the same to # feartwd . hope the check cash forever because he should never get another job . # amc,TIN
167,35968,another season for tom brady to give it to these nigga,TIN
168,14516,# lifeisbutepu when you are black and can say the word nigga '' . feel me my nigga ? ? ? url,TIN
169,15866,# austerity low pay # tuitionfees lack of housing wage falling # universalcredit unaffordable rent # nh crisis crap railway empty shop # brexit no deal exit from eu # windrush # grenfell in just short year the @ user have completely fucked the uk,TIN
170,57185,"@ user # thosethataretheloudest are afraid , justice is coming # bono is a scam just like the # clintonfoundation # pedowood # haiti url",TIN
171,91430,"day before bbc radio ’ s festival in a day , they decide to tell u that their headline act isn ’ t coming anymore . thanks a lot , now i ’ ve paid a fortune to see a tonne of act who are shit and who are of no interest to me 😑👍🏻",TIN
172,29203,# tytlive trump need to go because he is a danger to the country and the world . any way we can get rid of him is good,TIN
173,27913,"@ user # davidhogg , you 're nobody .",TIN
174,53325,", , and but like , , it ’ s still really miserable and unpleasant for u ? ? and like they even told me how they weren ’ t happy and would have got divorced before i wa even born so i ’ m like cool cool i wa literally born into hatred that ’ s awesome no wonder i ’ m such a fuckup",UNT
175,46410,"# desantis=deracist , a bad a choice a he is , he “ distanced ” himself from the prez ’ s comment today questioning any death in puerto rico from hurricane maria @ user @ user # whataputz",TIN
176,26072,- lost my acca on the first fucking fight cba,UNT
177,16856,@ user @ user i 'll use that one the next time im in a gun control debate or in a debate about free speech or tax . yes you can choose to be irresponsible or choose not to be . i argue responsible . whats wrong with that ? do n't justify murder by saying it wa never alive or it my right .,TIN
178,89200,@ user @ user who the hell doe he think he is ?,TIN
179,45269,# liberalismisamentaldisorder # hypocrite # democratshateamerica # democratsaredangerous everything liberal touch turn to absolute shit . url,TIN
180,15437,% of these nigga have podcasts and youtube channel dedicated to this and shit ain ’ t getting solved so url,TIN
181,91472,anytime i randomly bust out laughing it ’ s because i remembered some dumb shit albria said 😭😭,TIN
182,98531,@ user @ user 😂 you do not like the jewish people because you all claim they are holding all the money . sound familiar ? your left wing libtard family is the family of the kkk . you do not hate jew ? that ’ s funny . gun control ; even funnier . good luck,TIN
183,43753,k bitch 🎉💙,UNT
184,98685,# liberal always up to dirty trick to get their way . 👇👇 url,TIN
185,31665,# conservative are more upset about # bertenernie being # gay than having a # sexualpredator in the @ user a hooker a @ user and a # rapist a # supremecourtjustice,TIN
186,38732,# antifa protest in # athens for the year after the murder of pavlos fyssas by golden dawn . their voter are complicit to their crime . # killahp url,TIN
187,46983,"# conservative just like old # garbage bag blowing in the wind , here 's an old garbage bag now ... url",TIN
188,22067,# bakersfield is why we need gun control ! sorry for the victim other than the gunman himself i hope he rot in hell !,TIN
189,79756,# honoursacrificeboycottmatch i hope d human right rat r happy ! hope sidhu is happy ! i hope d liberal r happy ! let ’ s play cricket wth thm let ’ s thank thm wht they r doing our soldier let ’ s celebrate our impotence funny a piddly little nation like pak is taking u a ride,TIN
190,99563,# confirmkavanaugh ✅ # kavanaugh # scotus # potus # presidenttrump # americafirst # maga # kag 🚫anti # trump liberal activist accuser # ford make accusation but not willing to be subject b question ? suffer the consequence of filing a false charge # lockherup url,TIN
191,23542,"# resist traitor caught on video breaking our law to further their # communist # socialism way and slow down the # trump agenda . they are the dc chapter of democrat socialist of america . forget antifa , that is a distraction from the real resistance . # maga url",TIN
192,83416,"# christineblaseyford wa grinding # kavanaugh at a party almost yr ago ... ..you got ta love the age , of this ridiculous # metoo movement just swear # kavanaugh in already and get this over with , before # liberal have an anxiety attack like / / url",TIN
193,67418,"# corybooker is not a hero , he is an american traitor and should be treated a such . arrest , prosecute , and carry out sentence . # kavanaughconfirmation url via @ user",TIN
194,58632,round goon bitch is you kiddin me🤣,TIN
195,35612,@ user # morebs = more # barrysoetorobullshit,TIN
196,96905,"# tytlive omg how can a latino faith based woman think that trump is christian . wow , he is the poster child for immorality and hating latino",TIN
197,79778,@ user # carrey is a # pervert himself !,TIN
198,90328,@ user nigga are you stupid your trash dont play with him play with your bitch 😂,TIN
199,71350,# nooneaskme but here 's my opinion # offset keeping this beef up between # cardib and @ user he know cardi slow and believe everything he says.. she is his meal ticket . i just think # offset need to sit his ugly as down .,TIN
200,43782,# icymi - liberal ' favorite myth that obama wa a law professor is now destroyed ? ! url,TIN
201,58287,@ user to demonstrate how wholly incapable of carrying a thought to it logical conclusion she is ?,TIN
202,32061,and she ha a pet ? ? ? fucking disgusting url,TIN
203,63129,# liberalhypocrisy # tacobell when liberal ask why your against illegal immigration ? taco bell employee : no habla ingles ! '' url,TIN
204,74797,# blackinkcrewchi lily they don ’ t hate you ... .you hate you . you are your own worst enemy cause you let your anger get in the way i legit feel like shes one of the kid i work with at my job,TIN
205,25177,# justiceforsoniasfather mr usman buzdar sb ! please respond to sonia iqbal daughter of pti counsellor from okara whose father wa killed during election by nawaz league killer . she is saying she will commit suicide in front of medium . where is justice ?,TIN
206,87428,@ user - worst potus . ever !,TIN
207,39400,# conservative have no genetic ability to understand # hypocrisy or # irony . right wing ideology get ya all twisted in knot . # onpoli # ontario # partyofyesteryear @ user # fraudnation url,TIN
208,62788,# oitnb . she is the worst public defender . trailing her pen uner the word .,UNT
209,88745,# theview # bothamjean i do n't believe # amyguyger she is a lying po ! i live near a police station..i hope and pray a cop doe n't bust up in my house thinking it 's his/hers and kill me..my god..we/people of color are police prey..we 're always in police cross-hairs..no matter what,TIN
210,70443,"# antifa , september : stop the fascist nvu in # amsterdam ! url",TIN
211,90327,and that ’ s why you were at nyfw cause your such a class act.. getcho wack as outta here url,TIN
212,65545,# greatestthingsaboutthe s liberal weren ’ t unhinged,TIN
213,58543,"# conservative we mu pray for liberal . they trooly kno knot watt they do . i wa brot up socialist democrat , by my wonderful , but , ignorant parent . i served inda military . i learnd i can serve christ , too . eye reel -eyesed conservativism wa more closely aligned w god .",TIN
214,79222,"# disarmthem # antifa please no one be stupid enough to do this . most of u do not open carry , most of u carry concealed . anyone stupid enough to do this , that is considered an act of aggression and you will be shot we also carry more than one weapon . we shoot to kill , not maim .",TIN
215,72401,"@ user * puerto rico is destroyed ; more than , die * trump visit , and throw paper roll at people * month later , puerto rico is still waiting for help * trump say everything is fine , and his visit wa a great success 🤔",TIN
216,31354,all these sick as ppl from school gave me something and now i have to chug down this nasty drink so it can go away🙃,TIN
217,29008,# conservative are # dumberthandogshit is the central point of my tweet,TIN
218,41590,@ user # rosie make me nauseous ! 🤮 url,TIN
219,72523,# feminazis are liberal so # metoo only count when they blame a non-liberal man . # bizarro # kag ❤️🇺🇸 url,TIN
220,14640,"# brexit deal ha been reached - and will be unveiled at special summit in november , ha @ user sold out the # uk to the eu ? ? ? she better have not or the @ user are finished ! ! @ user url",TIN
221,74909,# crazyredhead in very # angry at the # orange # cheeto who claim to be our # president . she will never accept it . denying all the life lost in puerto rico ? he is a # monster # … url,TIN
222,96397,"# europaleague song the eu , cash your remaining chip in and p*ss off 👍 you 've played all your card and liberal in the u.s too . brexiteers and trump take it all so be nice eh and life 'll be better for everyone . url",TIN
223,34030,$ for a phone . you all are fucking dumb .,TIN
224,69073,# howtogetpeopleoutofyourhome tell them that you 're a vampire ... then threaten to eat them if they do n't get their ass out . *shrugs* what ? problem ?,UNT
225,29113,"# kavanaugh the moment # blaseyford is exposed a a fraud , expect a new accuser to surface . liberal are a one trick pony . # liberalismisamentaldisorder",TIN
226,11286,"# bcog @ user she is cool , confident , cocky , and she kick as ! ! ! @ user @ user @ user url",TIN
227,41821,@ user oh fuck off 😂😂,TIN
228,76379,# liberalhypocrisy # criminal # democrat # evidence # ellison # liberal # hypocrite keith ellison domestic violence accuser say democratic party doe n't believe her story url,TIN
229,52080,# democratpartyofdomesticterrorists # fascist # antifa # feminazi do n't just # walkaway run ! url,TIN
230,51762,# auspol i do n't know why he is still in his job . seriously . url,TIN
231,71592,# maga tell me one good thing # trump ha done a # president . i dare you ! he is the worst president in history .,TIN
232,78688,"# confirmkavanugh now , stall tactic are dc crony only recourse . no more delay . # votered to end this madness and to # maga",TIN
233,76135,@ user @ user @ user @ user beat the hell nj out of me lol . dude already made the assumption that i 'm antifa . he even ignored all the evidence to make that assumption .,TIN
234,30778,# stopetchecopar ? fuck you all 🖕🖕🖕🖕🖕 que florezcan mil baby etchecopar 🌻🌻🌻,TIN
235,22569,"# antifa are mentally unstable coward , pretending to be relevant . url",TIN
236,48938,@ user @ user and browning looked like dog shit against the same fcs school . what ’ s your point ?,TIN
237,41438,all two of them taste like as . url,TIN
238,73439,# despicabledems lie again about rifle . dem distorted the law to push gun-control at kavanaugh confirmation url via @ user,TIN
239,67018,people just unfollowed me for talking about merlin sorry y'all im still up covinsky 's as im just waiting for a psisly sequel announcement ive run out of witty and funny tweet about tatbilb i am drained,UNT
